0.3513,0.3333,0.3396,0.3427,0.3838,0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294	0.3675
0.3333,0.3396,0.3427,0.3838,0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675	0.331
0.3396,0.3427,0.3838,0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331	0.3194
0.3427,0.3838,0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194	0.3206
0.3838,0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206	0.3195
0.37,0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195	0.3101
0.4288,0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101	0.3687
0.4474,0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687	0.3668
0.4406,0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668	0.4312
0.4657,0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312	0.4514
0.454,0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514	0.4508
0.4939,0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508	0.4563
0.4328,0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563	0.4081
0.4238,0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081	0.4354
0.4779,0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354	0.4644
0.4591,0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644	0.4535
0.4651,0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535	0.474
0.5102,0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474	0.5365
0.5067,0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365	0.4907
0.4635,0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907	0.4805
0.4224,0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805	0.4416
0.3796,0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416	0.4019
0.3292,0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019	0.3592
0.294,0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592	0.3269
0.3675,0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269	0.3809
0.331,0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809	0.3545
0.3194,0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545	0.3469
0.3206,0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469	0.306
0.3195,0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306	0.3345
0.3101,0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345	0.3422
0.3687,0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422	0.3756
0.3668,0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756	0.3627
0.4312,0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627	0.4301
0.4514,0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301	0.426
0.4508,0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301,0.426	0.446
0.4563,0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301,0.426,0.446	0.4388
0.4081,0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301,0.426,0.446,0.4388	0.4102
0.4354,0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301,0.426,0.446,0.4388,0.4102	0.4087
0.4644,0.4535,0.474,0.5365,0.4907,0.4805,0.4416,0.4019,0.3592,0.3269,0.3809,0.3545,0.3469,0.306,0.3345,0.3422,0.3756,0.3627,0.4301,0.426,0.446,0.4388,0.4102,0.4087	0.4374
